feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25
56.22,67.39,45.24,31.11,44.21,50.49,41.96,68.99,58.52,71.48,50.48,43.15,82.38,64.2,61.08,63.42,83.27,61.54,75.28,75.3,78.14,124.73,43.81,122.37,59.89
49.55,62.17,51.34,43.68,54.61,50.11,48.48,33.11,51.7,76.1,56.26,68.93,32.0,72.97,61.31,65.41,67.73,71.46,53.76,60.79,76.81,71.58,70.27,81.55,58.94
57.8,52.66,43.89,49.04,55.23,32.66,44.28,68.01,56.5,67.48,51.74,79.77,57.59,36.61,104.12,67.16,50.12,93.84,82.48,63.24,51.8,65.44,97.81,68.86,107.07
66.99,44.88,49.46,76.65,60.91,51.71,49.6,54.73,69.36,30.86,62.71,74.08,62.31,48.36,79.16,83.04,58.44,67.15,57.49,58.48,82.88,61.03,74.48,95.49,116.95
48.54,59.68,31.22,60.68,37.91,65.53,54.11,67.9,77.53,57.67,79.56,79.35,63.26,61.48,108.41,52.55,73.34,51.16,83.62,108.35,40.45,79.9,93.19,92.53,54.1
48.54,56.33,55.45,37.97,62.41,39.43,68.3,68.88,67.27,42.66,49.05,58.61,65.98,48.93,56.3,50.77,100.64,37.23,63.65,99.28,57.59,80.12,60.27,18.59,59.95
67.58,61.85,53.01,59.83,21.2,69.63,52.66,80.51,60.47,56.96,76.51,54.53,73.07,50.13,63.51,88.26,58.05,77.75,35.44,81.11,30.02,91.96,55.59,73.94,100.71
59.06,58.99,43.6,35.43,47.13,62.34,35.59,76.95,80.72,74.7,48.88,50.21,62.42,58.05,41.69,57.67,81.89,72.7,49.84,96.51,102.95,52.55,91.25,65.32,87.0
46.07,63.55,60.58,66.99,48.9,46.45,72.39,76.85,54.46,64.58,47.86,61.11,56.93,75.04,50.83,43.27,60.93,55.73,60.61,85.97,66.25,65.44,80.94,82.73,90.22
56.7,46.11,63.78,48.35,62.92,54.16,45.7,78.21,73.95,77.22,73.69,60.74,56.27,58.17,98.28,57.27,69.04,87.49,95.68,73.63,115.42,114.64,47.51,69.74,95.17
46.13,66.49,34.51,52.88,55.28,76.78,56.21,62.08,54.82,65.13,75.29,65.31,52.91,82.33,55.86,60.06,95.03,59.99,86.57,39.89,87.46,76.72,55.78,72.13,69.58
46.11,54.17,44.23,69.91,37.43,65.54,63.03,58.45,65.25,40.53,74.2,59.93,75.99,47.04,98.59,93.99,81.14,65.44,100.67,64.76,80.19,68.38,106.64,55.01,82.42
53.54,74.83,44.15,38.55,42.69,56.11,59.69,70.22,57.35,22.19,40.61,59.86,52.33,42.72,43.24,82.65,44.04,67.68,101.25,63.3,58.98,52.23,53.12,90.16,80.67
30.91,44.42,42.19,37.23,57.48,52.91,71.77,68.25,58.19,62.23,53.78,49.57,76.97,96.75,46.56,86.66,56.41,61.33,58.57,47.34,49.55,82.62,93.09,110.41,55.68
32.89,71.1,62.54,47.0,54.01,57.0,63.47,53.67,53.53,56.79,73.76,77.07,63.31,52.81,59.03,80.76,90.24,72.48,65.32,40.28,81.72,93.65,62.72,55.35,82.09
45.1,54.18,50.77,66.46,47.76,49.35,45.37,63.67,78.5,45.35,61.64,63.22,54.4,41.71,63.88,83.03,69.62,89.88,60.98,79.85,69.53,90.37,72.93,43.26,102.85
40.37,44.83,49.96,35.77,48.99,28.64,86.41,57.51,48.37,34.49,44.36,59.21,73.2,34.39,81.15,53.61,45.75,46.29,55.91,76.49,43.54,66.57,79.33,74.44,67.48
54.3,46.68,29.96,20.01,63.7,82.55,59.62,46.04,48.27,48.98,68.1,50.04,51.0,82.28,72.89,62.43,51.85,77.28,33.09,46.65,39.9,79.59,27.83,73.37,78.43
41.47,48.48,60.31,48.59,48.53,58.02,55.01,76.07,89.75,57.08,49.92,40.69,73.53,58.2,57.71,48.18,80.01,71.27,68.71,55.08,51.35,107.1,41.55,99.76,79.65
36.17,56.67,38.75,60.62,53.9,61.18,70.01,58.77,73.18,69.99,88.82,82.93,66.51,59.69,62.67,62.21,85.4,70.92,43.93,93.22,108.33,94.49,74.86,46.96,68.6
66.39,57.75,53.69,68.4,82.12,55.25,60.37,86.68,24.42,62.83,84.95,70.87,53.16,61.29,59.42,78.31,67.33,84.57,68.33,52.45,116.37,55.53,57.43,62.16,90.23
48.63,45.69,56.19,48.44,37.2,46.44,62.39,35.24,50.8,84.12,70.36,36.02,71.72,81.22,48.99,68.42,112.79,68.94,110.26,73.42,75.2,18.53,94.43,26.75,59.7
51.71,51.73,68.65,49.06,31.85,53.58,90.64,50.21,32.73,44.47,82.1,74.21,72.02,60.95,49.46,89.61,82.25,77.12,59.07,66.2,74.05,78.23,38.47,104.25,104.98
36.04,75.56,37.95,67.85,64.79,35.21,53.29,58.46,45.21,73.22,62.0,76.76,82.1,103.85,82.99,45.45,62.5,81.6,72.8,80.13,64.11,88.77,85.15,79.51,89.09
45.28,71.0,18.28,31.56,46.52,85.6,52.71,73.92,13.49,60.71,72.86,63.99,78.94,66.27,33.01,75.0,51.91,58.42,86.68,52.88,51.84,49.13,43.41,63.8,53.92
52.16,56.8,55.11,49.34,51.02,39.95,58.57,63.59,57.01,70.42,83.9,87.57,71.11,82.05,93.3,43.53,48.96,73.68,74.47,71.8,99.19,71.82,65.43,44.91,113.21
38.91,52.42,73.71,56.29,45.24,42.58,71.47,62.35,42.44,53.45,64.81,65.47,44.39,77.69,59.0,67.7,73.21,63.24,74.7,73.37,109.41,66.46,50.12,46.93,78.78
54.94,53.32,67.25,59.39,51.75,50.28,36.66,42.22,59.87,76.08,57.04,39.33,103.4,63.38,51.48,79.33,57.96,65.48,61.93,74.6,52.68,74.19,113.9,83.11,58.73
44.69,58.75,55.41,47.88,74.98,72.74,30.46,41.8,35.44,64.43,34.58,67.84,39.84,54.02,77.95,62.14,97.96,61.88,64.48,71.58,69.3,60.56,44.2,49.64,99.85
47.94,40.75,47.35,54.41,65.03,56.19,49.07,62.52,60.2,49.81,59.71,65.92,78.66,69.64,90.99,75.92,94.13,76.95,50.28,76.89,61.78,99.1,70.38,76.29,86.13
